Graph Algorithm population nodes edges steps fitness_evaluations covering_size edges_covered fitness
ca-GrQc_clean EA 100 5242 14496 44795 44894 3017 13105 38222685541
ca-GrQc_clean EA 80 5242 14496 44815 44894 3024 13222 35007693560
ca-GrQc_clean EA 100 5242 14496 44795 44894 2984 12983 41575070316
ca-GrQc_clean EA 80 5242 14496 44815 44894 3087 13280 33413936911
ca-GrQc_clean EA 20 5242 14496 44875 44894 3590 14384 3077602758
ca-GrQc_clean EA 20 5242 14496 44875 44894 3616 14382 3132559912
ca-GrQc_clean EA 60 5242 14496 44835 44894 3138 13549 26022203246
ca-GrQc_clean EA 100 5242 14496 44795 44894 3004 13085 38772256808
ca-GrQc_clean EA 80 5242 14496 44815 44894 3095 13281 33386458355
ca-GrQc_clean EA 50 5242 14496 44845 44894 3221 13676 22532425701
ca-GrQc_clean EA 50 5242 14496 44845 44894 3211 13741 20746319031
ca-GrQc_clean EA 30 5242 14496 44865 44894 3444 14112 10551772020
ca-GrQc_clean EA 50 5242 14496 44845 44894 3271 13738 20828754783
ca-GrQc_clean EA 30 5242 14496 44865 44894 3442 14109 10634207710
ca-GrQc_clean EA 50 5242 14496 44845 44894 3257 13752 20444054873
ca-GrQc_clean EA 70 5242 14496 44825 44894 3113 13406 29951637873
ca-GrQc_clean EA 70 5242 14496 44825 44894 3126 13411 29814245066
ca-GrQc_clean EA 50 5242 14496 44845 44894 3248 13735 20911190452
ca-GrQc_clean EA 70 5242 14496 44825 44894 3132 13451 28715102512
ca-GrQc_clean EA 50 5242 14496 44845 44894 3200 13682 22367554296
ca-GrQc_clean EA 50 5242 14496 44845 44894 3259 13737 20856233335
ca-GrQc_clean EA 10 5242 14496 44885 44894 3392 14491 137396212
ca-GrQc_clean EA 90 5242 14496 44805 44894 3052 13142 37205978708
ca-GrQc_clean EA 70 5242 14496 44825 44894 3184 13398 30171466456
ca-GrQc_clean EA 50 5242 14496 44845 44894 3217 13713 21515718829
ca-GrQc_clean EA 10 5242 14496 44885 44894 3373 14491 137396193
ca-GrQc_clean EA 30 5242 14496 44865 44894 3456 14141 9754893676
ca-GrQc_clean EA 50 5242 14496 44845 44894 3248 13708 21653111680
ca-GrQc_clean EA 70 5242 14496 44825 44894 3072 13356 31325566032
ca-GrQc_clean EA 70 5242 14496 44825 44894 3040 13410 29841723544
ca-GrQc_clean EA 30 5242 14496 44865 44894 3455 14155 9370193779
ca-GrQc_clean EA 30 5242 14496 44865 44894 3502 14146 9617500902
ca-GrQc_clean EA 50 5242 14496 44845 44894 3208 13741 20746319028
ca-GrQc_clean EA 30 5242 14496 44865 44894 3479 14160 9232800983
ca-GrQc_clean EA 10 5242 14496 44885 44894 3355 14494 54960483
ca-GrQc_clean EA 10 5242 14496 44885 44894 3363 14490 164874747
ca-GrQc_clean EA 10 5242 14496 44885 44894 3330 14487 247310406
ca-GrQc_clean EA 10 5242 14496 44885 44894 3387 14490 164874771
ca-GrQc_clean EA 10 5242 14496 44885 44894 3408 14488 219831920
ca-GrQc_clean EA 70 5242 14496 44825 44894 3134 13394 30281380662
ca-GrQc_clean EA 70 5242 14496 44825 44894 3075 13378 30721037627
ca-GrQc_clean EA 70 5242 14496 44825 44894 3083 13392 30336337739
ca-GrQc_clean EA 90 5242 14496 44805 44894 3005 13152 36931193021
ca-GrQc_clean EA 90 5242 14496 44805 44894 3064 13195 35749614828
ca-GrQc_clean EA 70 5242 14496 44825 44894 3114 13368 30995823306
ca-GrQc_clean EA 10 5242 14496 44885 44894 3357 14491 137396177
ca-GrQc_clean EA 90 5242 14496 44805 44894 3041 13162 36656407417
ca-GrQc_clean EA 10 5242 14496 44885 44894 3389 14490 164874773
ca-GrQc_clean EA 10 5242 14496 44885 44894 3376 14492 109917632
ca-GrQc_clean EA 30 5242 14496 44865 44894 3433 14139 9809850781
ca-GrQc_clean EA 90 5242 14496 44805 44894 3017 13184 36051878985
ca-GrQc_clean EA 30 5242 14496 44865 44894 3451 14148 9562543723
ca-GrQc_clean EA 30 5242 14496 44865 44894 3502 14177 8765665418
ca-GrQc_clean EA 90 5242 14496 44805 44894 3032 13168 36491536024
ca-GrQc_clean EA 90 5242 14496 44805 44894 2981 13135 37398328585
ca-GrQc_clean EA 90 5242 14496 44805 44894 3031 13199 35639700539
ca-GrQc_clean EA 90 5242 14496 44805 44894 3055 13204 35502307743
ca-GrQc_clean EA 60 5242 14496 44835 44894 3107 13521 26791603007
ca-GrQc_clean EA 60 5242 14496 44835 44894 3142 13545 26132117506
ca-GrQc_clean EA 80 5242 14496 44815 44894 3030 13203 35529786282
ca-GrQc_clean EA 60 5242 14496 44835 44894 3134 13509 27121345802
ca-GrQc_clean EA 60 5242 14496 44835 44894 3142 13521 26791603042
ca-GrQc_clean EA 60 5242 14496 44835 44894 3183 13554 25884810471
ca-GrQc_clean EA 20 5242 14496 44875 44894 3584 14369 3489781212
ca-GrQc_clean EA 60 5242 14496 44835 44894 3146 13533 26461860278
ca-GrQc_clean EA 80 5242 14496 44815 44894 3037 13253 34155858089
ca-GrQc_clean EA 40 5242 14496 44855 44894 3301 13908 16157398933
ca-GrQc_clean EA 60 5242 14496 44835 44894 3127 13496 27478567127
ca-GrQc_clean EA 20 5242 14496 44875 44894 3584 14374 3352388392
ca-GrQc_clean EA 40 5242 14496 44855 44894 3303 13889 16679491651
ca-GrQc_clean EA 80 5242 14496 44815 44894 3068 13263 33881072480
ca-GrQc_clean EA 40 5242 14496 44855 44894 3349 13899 16404706057
ca-GrQc_clean EA 20 5242 14496 44875 44894 3636 14376 3297431316
ca-GrQc_clean EA 80 5242 14496 44815 44894 3034 13264 33853593882
ca-GrQc_clean EA 80 5242 14496 44815 44894 3094 13366 31050780414
ca-GrQc_clean EA 60 5242 14496 44835 44894 3134 13504 27258738622
ca-GrQc_clean EA 80 5242 14496 44815 44894 3017 13236 34622993657
ca-GrQc_clean EA 40 5242 14496 44855 44894 3283 13880 16926798707
ca-GrQc_clean EA 100 5242 14496 44795 44894 2942 12968 41987248734
ca-GrQc_clean EA 40 5242 14496 44855 44894 3376 13918 15882613368
ca-GrQc_clean EA 20 5242 14496 44875 44894 3568 14367 3544738324
ca-GrQc_clean EA 60 5242 14496 44835 44894 3134 13509 27121345802
ca-GrQc_clean EA 40 5242 14496 44855 44894 3283 13880 16926798707
