Algorithm nodes edges power_exponent steps covering_size edges_covered fitness
EA 300 3331 2.5 13689 224 3331 224
EA 300 3331 2.5 13689 219 3331 219
EA 300 3331 2.5 13689 220 3331 220
EA 300 3331 2.5 13689 217 3331 217
EA 300 3331 2.5 13689 216 3331 216
EA 300 3331 2.5 13689 217 3331 217
EA 300 3331 2.5 13689 221 3331 221
EA 300 3331 2.5 13689 222 3331 222
EA 300 3331 2.5 13689 217 3331 217
EA 300 3331 2.5 13689 220 3331 220
EA 300 3331 2.5 13689 220 3331 220
EA 300 3331 2.5 13689 222 3331 222
EA 300 3331 2.5 13689 222 3331 222
EA 300 3331 2.5 13689 225 3331 225
EA 300 3331 2.5 13689 224 3331 224
EA 300 3331 2.5 13689 211 3331 211
EA 300 3331 2.5 13689 224 3331 224
EA 300 3331 2.5 13689 219 3331 219
EA 300 3331 2.5 13689 217 3331 217
EA 300 3331 2.5 13689 217 3331 217
EA 300 3331 2.5 13689 218 3331 218
EA 300 3331 2.5 13689 228 3331 228
EA 300 3331 2.5 13689 217 3331 217
EA 300 3331 2.5 13689 220 3331 220
EA 300 3331 2.5 13689 222 3331 222
EA 300 3331 2.5 13689 224 3331 224
EA 300 3331 2.5 13689 221 3331 221
EA 300 3331 2.5 13689 218 3331 218
EA 300 3331 2.5 13689 226 3331 226
EA 300 3331 2.5 13689 211 3331 211
EA 300 3331 2.5 13689 220 3331 220
EA 300 3331 2.5 13689 226 3331 226
EA 300 3331 2.5 13689 222 3331 222
EA 300 3331 2.5 13689 221 3331 221
EA 300 3331 2.5 13689 217 3331 217
EA 300 3331 2.5 13689 219 3331 219
EA 300 3331 2.5 13689 217 3331 217
EA 300 3331 2.5 13689 222 3331 222
EA 300 3331 2.5 13689 217 3331 217
EA 300 3331 2.5 13689 216 3331 216
EA 300 3331 2.5 13689 222 3331 222
EA 300 3331 2.5 13689 217 3331 217
EA 300 3331 2.5 13689 221 3331 221
EA 300 3331 2.5 13689 220 3331 220
EA 300 3331 2.5 13689 212 3331 212
EA 300 3331 2.5 13689 219 3331 219
EA 300 3331 2.5 13689 219 3331 219
EA 300 3331 2.5 13689 226 3331 226
EA 300 3331 2.5 13689 222 3331 222
EA 300 3331 2.5 13689 222 3331 222
EA 300 3331 2.5 13689 220 3331 220
EA 300 3331 2.5 13689 215 3331 215
EA 300 3331 2.5 13689 219 3331 219
EA 300 3331 2.5 13689 216 3331 216
EA 300 3331 2.5 13689 218 3331 218
EA 300 3331 2.5 13689 217 3331 217
EA 300 3331 2.5 13689 222 3331 222
EA 300 3331 2.5 13689 223 3331 223
EA 300 3331 2.5 13689 222 3331 222
EA 300 3331 2.5 13689 219 3331 219
EA 300 3331 2.5 13689 226 3331 226
EA 300 3331 2.5 13689 228 3331 228
EA 300 3331 2.5 13689 219 3331 219
EA 300 3331 2.5 13689 220 3331 220
EA 300 3331 2.5 13689 215 3331 215
EA 300 3331 2.5 13689 217 3331 217
EA 300 3331 2.5 13689 218 3331 218
EA 300 3331 2.5 13689 219 3331 219
EA 300 3331 2.5 13689 216 3331 216
EA 300 3331 2.5 13689 219 3331 219
EA 300 3331 2.5 13689 218 3331 218
EA 300 3331 2.5 13689 214 3331 214
EA 300 3331 2.5 13689 218 3331 218
EA 300 3331 2.5 13689 220 3331 220
EA 300 3331 2.5 13689 219 3331 219
EA 300 3331 2.5 13689 220 3331 220
EA 300 3331 2.5 13689 222 3331 222
EA 300 3331 2.5 13689 224 3331 224
EA 300 3331 2.5 13689 222 3331 222
EA 350 3696 2.5 16402 258 3696 258
EA 350 3696 2.5 16402 253 3696 253
EA 350 3696 2.5 16402 252 3696 252
EA 350 3696 2.5 16402 253 3696 253
EA 350 3696 2.5 16402 252 3696 252
EA 350 3696 2.5 16402 256 3696 256
EA 350 3696 2.5 16402 256 3696 256
EA 350 3696 2.5 16402 252 3696 252
EA 350 3696 2.5 16402 254 3696 254
EA 350 3696 2.5 16402 247 3696 247
EA 350 3696 2.5 16402 251 3696 251
EA 350 3696 2.5 16402 253 3696 253
EA 350 3696 2.5 16402 249 3696 249
EA 350 3696 2.5 16402 255 3696 255
EA 350 3696 2.5 16402 250 3696 250
EA 350 3696 2.5 16402 257 3696 257
EA 350 3696 2.5 16402 248 3696 248
EA 350 3696 2.5 16402 255 3696 255
EA 350 3696 2.5 16402 256 3696 256
EA 350 3696 2.5 16402 257 3696 257
EA 350 3696 2.5 16402 249 3696 249
EA 350 3696 2.5 16402 259 3696 259
EA 350 3696 2.5 16402 255 3696 255
EA 350 3696 2.5 16402 247 3696 247
EA 350 3696 2.5 16402 263 3696 263
EA 350 3696 2.5 16402 252 3696 252
EA 350 3696 2.5 16402 250 3696 250
EA 350 3696 2.5 16402 252 3696 252
EA 350 3696 2.5 16402 253 3696 253
EA 350 3696 2.5 16402 248 3696 248
EA 350 3696 2.5 16402 251 3696 251
EA 350 3696 2.5 16402 251 3696 251
EA 350 3696 2.5 16402 245 3696 245
EA 350 3696 2.5 16402 252 3696 252
EA 350 3696 2.5 16402 252 3696 252
EA 350 3696 2.5 16402 257 3696 257
EA 350 3696 2.5 16402 251 3696 251
EA 350 3696 2.5 16402 253 3696 253
EA 350 3696 2.5 16402 253 3696 253
EA 350 3696 2.5 16402 248 3696 248
EA 350 3696 2.5 16402 254 3696 254
EA 350 3696 2.5 16402 251 3696 251
EA 350 3696 2.5 16402 258 3696 258
EA 350 3696 2.5 16402 255 3696 255
EA 350 3696 2.5 16402 246 3696 246
EA 350 3696 2.5 16402 251 3696 251
EA 350 3696 2.5 16402 247 3696 247
EA 350 3696 2.5 16402 252 3696 252
EA 350 3696 2.5 16402 259 3696 259
EA 350 3696 2.5 16402 251 3696 251
EA 350 3696 2.5 16402 250 3696 250
EA 350 3696 2.5 16402 247 3696 247
EA 350 3696 2.5 16402 251 3696 251
EA 350 3696 2.5 16402 257 3696 257
EA 350 3696 2.5 16402 258 3696 258
EA 350 3696 2.5 16402 248 3696 248
EA 350 3696 2.5 16402 246 3696 246
EA 350 3696 2.5 16402 252 3696 252
EA 350 3696 2.5 16402 247 3696 247
EA 350 3696 2.5 16402 251 3696 251
EA 350 3696 2.5 16402 253 3696 253
EA 350 3696 2.5 16402 257 3696 257
EA 350 3696 2.5 16402 263 3696 263
EA 350 3696 2.5 16402 256 3696 256
EA 350 3696 2.5 16402 259 3696 259
EA 350 3696 2.5 16402 256 3696 256
EA 350 3696 2.5 16402 259 3696 259
EA 350 3696 2.5 16402 259 3696 259
EA 350 3696 2.5 16402 263 3696 263
EA 350 3696 2.5 16402 247 3696 247
EA 350 3696 2.5 16402 252 3696 252
EA 350 3696 2.5 16402 251 3696 251
EA 350 3696 2.5 16402 253 3696 253
EA 350 3696 2.5 16402 246 3696 246
EA 350 3696 2.5 16402 256 3696 256
EA 350 3696 2.5 16402 252 3696 252
EA 350 3696 2.5 16402 256 3696 256
EA 350 3696 2.5 16402 252 3696 252
EA 350 3696 2.5 16402 246 3696 246
EA 350 3696 2.5 16402 252 3696 252
EA 350 3696 2.5 16402 253 3696 253
EA 350 3696 2.5 16402 254 3696 254
EA 350 3696 2.5 16402 254 3696 254
EA 350 3696 2.5 16402 257 3696 257
EA 350 3696 2.5 16402 255 3696 255
EA 350 3696 2.5 16402 249 3696 249
EA 350 3696 2.5 16402 249 3696 249
EA 350 3696 2.5 16402 256 3696 256
EA 350 3696 2.5 16402 255 3696 255
EA 350 3696 2.5 16402 256 3696 256
EA 350 3696 2.5 16402 252 3696 252
EA 350 3696 2.5 16402 249 3696 249
EA 350 3696 2.5 16402 253 3696 253
EA 350 3696 2.5 16402 252 3696 252
EA 350 3696 2.5 16402 252 3696 252
EA 350 3696 2.5 16402 254 3696 254
EA 350 3696 2.5 16402 251 3696 251
EA 350 3696 2.5 16402 253 3696 253
EA 350 3696 2.5 16402 256 3696 256
EA 400 3820 2.5 19172 285 3820 285
EA 400 3820 2.5 19172 280 3820 280
EA 400 3820 2.5 19172 280 3820 280
EA 400 3820 2.5 19172 281 3820 281
EA 400 3820 2.5 19172 281 3820 281
EA 400 3820 2.5 19172 290 3820 290
EA 400 3820 2.5 19172 278 3820 278
EA 400 3820 2.5 19172 278 3820 278
EA 400 3820 2.5 19172 289 3820 289
EA 400 3820 2.5 19172 277 3820 277
EA 400 3820 2.5 19172 274 3820 274
EA 400 3820 2.5 19172 278 3820 278
EA 400 3820 2.5 19172 285 3820 285
EA 400 3820 2.5 19172 283 3820 283
EA 400 3820 2.5 19172 280 3820 280
EA 400 3820 2.5 19172 280 3820 280
EA 400 3820 2.5 19172 281 3820 281
EA 400 3820 2.5 19172 290 3820 290
EA 400 3820 2.5 19172 285 3820 285
EA 400 3820 2.5 19172 281 3820 281
EA 400 3820 2.5 19172 280 3820 280
EA 400 3820 2.5 19172 279 3820 279
EA 400 3820 2.5 19172 290 3820 290
EA 400 3820 2.5 19172 288 3820 288
EA 400 3820 2.5 19172 277 3820 277
EA 400 3820 2.5 19172 283 3820 283
EA 400 3820 2.5 19172 287 3820 287
EA 400 3820 2.5 19172 289 3820 289
EA 400 3820 2.5 19172 279 3820 279
EA 400 3820 2.5 19172 276 3820 276
EA 400 3820 2.5 19172 288 3820 288
EA 400 3820 2.5 19172 276 3820 276
EA 400 3820 2.5 19172 287 3820 287
EA 400 3820 2.5 19172 284 3820 284
EA 400 3820 2.5 19172 283 3820 283
EA 400 3820 2.5 19172 282 3820 282
